et_mm,fuente,label,lat,lon,periodo_fin,periodo_inicio
47.8,no-GF,2026-03_Q1,-19.689669877950884,147.22717515914223,2026-03-16,2026-03-01
52.300000000000004,no-GF,2026-03_Q2,-19.689669877950884,147.22717515914223,2026-04-01,2026-03-16
40.10000000000001,no-GF,2026-04_Q1,-19.689669877950884,147.22717515914223,2026-04-16,2026-04-01
20.200000000000003,no-GF,2026-04_Q2,-19.689669877950884,147.22717515914223,2026-05-01,2026-04-16
33.7,no-GF,2026-05_Q1,-19.689669877950884,147.22717515914223,2026-05-16,2026-05-01
24.0,no-GF,2026-05_Q2,-19.689669877950884,147.22717515914223,2026-06-01,2026-05-16
25.1,no-GF,2026-06_Q1,-19.689669877950884,147.22717515914223,2026-06-16,2026-06-01
22.700000000000003,no-GF,2026-06_Q2,-19.689669877950884,147.22717515914223,2026-07-01,2026-06-16
21.700000000000003,no-GF,2026-07_Q1,-19.689669877950884,147.22717515914223,2026-07-16,2026-07-01
10.100000000000001,no-GF,2026-07_Q2,-19.689669877950884,147.22717515914223,2026-08-01,2026-07-16
